Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note1,Note2,Note3,WinStreak
1983,8-Oct,@,Wisconsin,W,27,15,,,,2
1983,15-Oct,vs.,Ohio State,W,17,13,,,,0
1983,22-Oct,@,Purdue,W,35,21,,,,1
1983,29-Oct,vs.,Michigan,W,16,6,,,,0
1983,5-Nov,@,Minnesota,W,50,23,,,,2
1983,12-Nov,vs.,Indiana,W,49,21,,,,2
1983,19-Nov,@,Northwestern,W,56,24,,,,4
1982,4-Sep,vs.,Northwestern,W,49,13,,,,3
1982,11-Sep,vs.,Michigan State,W,23,16,,,,2
1982,18-Sep,@,Syracuse,W,47,10,,,,1
1982,25-Sep,vs.,Pittsburgh,L,3,20,,,,0
1982,2-Oct,@,Minnesota,W,42,24,,,,1
1982,9-Oct,vs.,Purdue,W,38,34,,,,0
1982,16-Oct,vs.,Ohio State,L,21,26,,,,0
1982,23-Oct,@,Wisconsin,W,29,28,,,,1
1982,30-Oct,@,Iowa,L,13,14,,,,2
1982,6-Nov,vs.,Michigan,L,10,16,,,,0
1982,13-Nov,@,Indiana,W,48,7,,,,1
1982,29-Dec,vs.,Alabama,L,15,21,@ Memphis, TN,Liberty Bowl,0
1981,5-Sep,@,Pittsburgh,L,6,26,,,,0
1981,12-Sep,@,Michigan State,W,27,17,,,,1
1981,19-Sep,vs.,Syracuse,W,17,14,,,,0
1981,3-Oct,vs.,Minnesota,W,38,29,,,,0
1981,10-Oct,@,Purdue,L,20,44,,,,0
1981,17-Oct,@,Ohio State,L,27,34,,,,0
1981,24-Oct,vs.,Wisconsin,W,23,21,,,,0
1981,31-Oct,vs.,Iowa,W,24,7,,,,1
1981,7-Nov,@,Michigan,L,21,70,,,,0
1981,14-Nov,vs.,Indiana,W,35,14,,,,0
1981,21-Nov,@,Northwestern,W,49,12,,,,2
1980,6-Sep,vs.,Northwestern,W,35,9,,,,1
1980,13-Sep,vs.,Michigan State,W,20,17,,,,0
1980,20-Sep,@,Missouri,L,7,52,,,,0
1980,27-Sep,vs.,Air Force,T,20,20,,,,1
1980,4-Oct,vs.,Mississippi State,L,21,28,,,,0
1980,11-Oct,@,Iowa,W,20,14,,,,0
1980,18-Oct,vs.,Purdue,L,20,45,,,,0
1980,25-Oct,@,Michigan,L,14,45,,,,0
1980,1-Nov,vs.,Minnesota,L,18,21,,,,0
1980,8-Nov,@,Ohio State,L,42,49,,,,0
1980,15-Nov,@,Indiana,L,24,26,,,,0
1979,8-Sep,@,Michigan State,L,16,33,,,,0
1979,15-Sep,vs.,Missouri,L,6,14,,,,0
1979,22-Sep,@,Air Force,W,27,19,,,,0
1979,29-Sep,vs.,Navy,L,12,13,,,,0
1979,6-Oct,vs.,Iowa,L,7,13,,,,0
1979,13-Oct,@,Purdue,L,14,28,,,,0
1979,20-Oct,vs.,Michigan,L,7,27,,,,0
1979,27-Oct,@,Minnesota,T,17,17,,,,0
1979,3-Nov,vs.,Ohio State,L,7,44,,,,0
1979,10-Nov,vs.,Indiana,L,14,45,,,,0
1979,17-Nov,@,Northwestern,W,29,13,,,,0
1978,9-Sep,vs.,Northwestern,T,0,0,,,,0
1978,16-Sep,@,Michigan,L,0,31,,,,0
1978,23-Sep,vs.,Stanford,L,10,35,,,,0
1978,30-Sep,@,Syracuse,W,28,14,,,,0
1978,7-Oct,@,Missouri,L,3,45,,,,2
1978,14-Oct,vs.,Wisconsin,T,20,20,,,,0
1978,21-Oct,vs.,Purdue,L,0,13,,,,2
1978,28-Oct,@,Indiana,L,10,31,,,,1
1978,4-Nov,vs.,Michigan State,L,19,59,,,,0
1978,11-Nov,@,Ohio State,L,7,45,,,,0
1978,18-Nov,@,Minnesota,L,6,24,,,,0
1977,10-Sep,vs.,Michigan,L,9,37,,,,0
1977,17-Sep,vs.,Missouri,W,11,7,,,,1
1977,24-Sep,@,Stanford,L,24,37,,,,0
1977,1-Oct,vs.,Syracuse,L,20,30,,,,0
1977,8-Oct,@,Wisconsin,L,0,26,,,,1
1977,15-Oct,@,Purdue,W,29,22,,,,1
1977,22-Oct,vs.,Indiana,W,21,7,,,,0
1977,29-Oct,@,Michigan State,L,20,49,,,,0
1977,5-Nov,vs.,Ohio State,L,0,35,,,,0
1977,12-Nov,vs.,Minnesota,L,0,21,,,,0
1977,19-Nov,@,Northwestern,L,7,21,,,,3
1976,11-Sep,vs.,Iowa,W,24,6,,,,1
1976,18-Sep,@,Missouri,W,31,6,,,,0
1976,25-Sep,vs.,Baylor,L,19,34,,,,0
1976,2-Oct,vs.,Texas A&M,L,7,14,,,,0
1976,9-Oct,@,Minnesota,L,14,29,,,,2
1976,16-Oct,@,Purdue,W,21,17,,,,0
1976,23-Oct,vs.,Michigan State,L,23,31,,,,1
1976,30-Oct,vs.,Wisconsin,W,31,25,,,,0
1976,6-Nov,@,Ohio State,L,10,42,,,,0
1976,13-Nov,@,Michigan,L,7,38,,,,0
1976,20-Nov,vs.,Northwestern,W,48,6,,,,2
1975,13-Sep,@,Iowa,W,27,12,,,,0
1975,20-Sep,vs.,Missouri,L,20,30,,,,0
1975,27-Sep,@,Texas A&M,L,13,43,,,,0
1975,4-Oct,vs.,Washington State,W,27,21,,,,1
1975,11-Oct,vs.,Minnesota,W,42,23,,,,1
1975,18-Oct,vs.,Purdue,L,24,26,,,,2
1975,25-Oct,@,Michigan State,W,21,19,,,,0
1975,1-Nov,@,Wisconsin,L,9,18,,,,0
1975,8-Nov,vs.,Ohio State,L,3,40,,,,0
1975,15-Nov,vs.,Michigan,L,15,21,,,,0
1975,22-Nov,@,Northwestern,W,28,7,,,,1
1974,14-Sep,vs.,Indiana,W,16,0,,,,3
1974,21-Sep,@,Stanford,W,41,7,,,,0
1974,28-Sep,vs.,Washington State,W,21,19,,,,0
1974,5-Oct,vs.,California,L,14,31,,,,1
1974,12-Oct,@,Purdue,W,27,23,,,,1
1974,19-Oct,vs.,Michigan State,T,21,21,,,,1
1974,26-Oct,@,Iowa,L,12,14,,,,1
1974,2-Nov,@,Ohio State,L,7,49,,,,0
1974,9-Nov,vs.,Michigan,L,6,14,,,,0
1974,16-Nov,@,Minnesota,W,17,14,,,,0
1974,23-Nov,vs.,Northwestern,W,28,14,,,,0
1973,15-Sep,@,Indiana,W,28,14,,,,2
1973,22-Sep,@,California,W,27,7,,,,0
1973,29-Sep,vs.,West Virginia,L,10,17,,,,0
1973,6-Oct,vs.,Stanford,L,0,24,,,,0
1973,13-Oct,vs.,Purdue,W,15,13,,,,0
1973,20-Oct,@,Michigan State,W,6,3,,,,0
1973,27-Oct,vs.,Iowa,W,50,0,,,,0
1973,3-Nov,vs.,Ohio State,L,0,30,,,,0
1973,10-Nov,@,Michigan,L,6,21,,,,0
1973,17-Nov,vs.,Minnesota,L,16,19,,,,0
1973,24-Nov,@,Northwestern,L,6,9,,,,2
1972,16-Sep,vs.,Michigan State,L,0,24,,,,0
1972,23-Sep,vs.,Southern California,L,20,55,,,,0
1972,30-Sep,@,Washington,L,11,31,,,,0
1972,7-Oct,vs.,Penn State,L,17,35,,,,0
1972,14-Oct,@,Ohio State,L,7,26,,,,0
1972,21-Oct,vs.,Michigan,L,7,31,,,,0
1972,28-Oct,@,Purdue,L,14,20,,,,2
1972,4-Nov,@,Northwestern,W,43,13,,,,1
1972,11-Nov,vs.,Indiana,W,37,20,,,,1
1972,18-Nov,vs.,Wisconsin,W,27,7,,,,1
1972,25-Nov,@,Iowa,L,14,15,,,,1
1971,11-Sep,@,Michigan State,L,0,10,,,,0
1971,18-Sep,vs.,North Carolina,L,0,27,,,,0
1971,25-Sep,@,Southern California,L,0,28,,,,0
1971,2-Oct,vs.,Washington,L,14,52,,,,0
1971,9-Oct,vs.,Ohio State,L,10,24,,,,0
1971,16-Oct,@,Michigan,L,6,35,,,,0
1971,23-Oct,vs.,Purdue,W,21,7,,,,1
1971,30-Oct,vs.,Northwestern,W,24,7,,,,0
1971,6-Nov,@,Indiana,W,22,21,,,,0
1971,13-Nov,@,Wisconsin,W,35,27,,,,0
1971,20-Nov,vs.,Iowa,W,31,0,,,,0
1970,19-Sep,vs.,Oregon,W,20,16,,,,0
1970,26-Sep,vs.,Tulane,L,9,23,,,,0
1970,3-Oct,vs.,Syracuse,W,27,0,,,,0
1970,10-Oct,@,Northwestern,L,0,48,,,,0
1970,17-Oct,vs.,Indiana,L,24,30,,,,0
1970,24-Oct,vs.,Ohio State,L,29,48,,,,0
1970,31-Oct,@,Purdue,W,23,21,,,,0
1970,7-Nov,@,Michigan,L,0,42,,,,0
1970,14-Nov,vs.,Wisconsin,L,17,29,,,,0
1970,21-Nov,@,Iowa,L,16,22,,,,0
1969,20-Sep,vs.,Washington State,L,18,19,,,,0
1969,27-Sep,vs.,Missouri,L,6,37,@ St. Louis, MO,,0
1969,4-Oct,vs.,Iowa State,L,20,48,,,,0
1969,11-Oct,vs.,Northwestern,L,6,10,,,,2
1969,18-Oct,@,Indiana,L,20,41,,,,0
1969,25-Oct,@,Ohio State,L,0,41,,,,0
1969,1-Nov,vs.,Purdue,L,22,49,,,,0
1969,8-Nov,vs.,Michigan,L,0,57,,,,0
1969,15-Nov,@,Wisconsin,L,14,55,,,,0
1969,22-Nov,vs.,Iowa,L,0,40,,,,0
1968,21-Sep,vs.,Kansas,L,7,47,,,,0
1968,28-Sep,vs.,Missouri,L,0,44,,,,0
1968,5-Oct,@,Indiana,L,14,28,,,,0
1968,12-Oct,@,Minnesota,L,10,17,,,,0
1968,19-Oct,@,Notre Dame,L,8,58,,,,0
1968,26-Oct,vs.,Ohio State,L,24,31,,,,2
1968,2-Nov,@,Purdue,L,17,35,,,,0
1968,9-Nov,@,Michigan,L,0,36,,,,0
1968,16-Nov,vs.,Northwestern,W,14,0,,,,1
1968,23-Nov,vs.,Iowa,L,13,37,,,,1
1967,23-Sep,@,Florida,L,0,14,,,,0
1967,30-Sep,vs.,Pittsburgh,W,34,6,,,,0
1967,7-Oct,vs.,Indiana,L,7,20,,,,2
1967,14-Oct,vs.,Minnesota,L,7,10,,,,0
1967,21-Oct,vs.,Notre Dame,L,7,47,,,,0
1967,28-Oct,@,Ohio State,W,17,13,,,,1
1967,4-Nov,vs.,Purdue,L,9,42,,,,0
1967,11-Nov,vs.,Michigan,L,14,21,,,,1
1967,18-Nov,@,Northwestern,W,27,21,,,,0
1967,25-Nov,@,Iowa,W,21,19,,,,0
1966,17-Sep,@,Southern Methodist,L,7,26,,,,1
1966,24-Sep,vs.,Missouri,L,14,21,,,,0
1966,1-Oct,vs.,Michigan State,L,10,26,,,,0
1966,8-Oct,vs.,Ohio State,W,10,9,,,,0
1966,15-Oct,@,Indiana,W,24,10,,,,1
1966,22-Oct,vs.,Stanford,L,3,6,,,,0
1966,29-Oct,@,Purdue,L,21,25,,,,1
1966,5-Nov,@,Michigan,W,28,21,,,,0
1966,12-Nov,vs.,Wisconsin,W,49,14,,,,3
1966,19-Nov,@,Northwestern,L,7,35,,,,3
1965,18-Sep,vs.,Oregon State,L,10,12,,,,0
1965,25-Sep,vs.,Southern Methodist,W,42,0,,,,0
1965,2-Oct,@,Michigan State,L,12,22,,,,3
1965,9-Oct,@,Ohio State,L,14,28,,,,0
1965,16-Oct,vs.,Indiana,W,34,13,,,,0
1965,23-Oct,vs.,Duke,W,28,14,,,,0
1965,30-Oct,vs.,Purdue,W,21,0,,,,0
1965,6-Nov,vs.,Michigan,L,3,23,,,,0
1965,13-Nov,@,Wisconsin,W,51,0,,,,2
1965,20-Nov,@,Northwestern,W,20,6,,,,2
1964,26-Sep,@,California,W,20,14,,,,1
1964,3-Oct,@,Northwestern,W,17,6,,,,1
1964,10-Oct,vs.,Ohio State,L,0,26,,,,0
1964,17-Oct,@,Minnesota,W,14,0,,,,1
1964,24-Oct,vs.,UCLA,W,26,7,,,,1
1964,31-Oct,@,Purdue,L,14,26,,,,2
1964,7-Nov,@,Michigan,L,6,21,,,,0
1964,14-Nov,vs.,Wisconsin,W,29,0,,,,1
1964,21-Nov,vs.,Michigan State,W,16,0,,,,2
1963,1-Jan,vs.,Washington,W,17,7,@ Pasadena, CA,Rose Bowl,0
1963,28-Sep,vs.,California,W,10,0,,,,0
1963,5-Oct,vs.,Northwestern,W,10,9,,,,0
1963,12-Oct,@,Ohio State,T,20,20,,,,0
1963,19-Oct,vs.,Minnesota,W,16,6,,,,0
1963,25-Oct,@,UCLA,W,18,12,,,,0
1963,2-Nov,vs.,Purdue,W,41,21,,,,1
1963,9-Nov,vs.,Michigan,L,8,14,,,,0
1963,16-Nov,@,Wisconsin,W,17,7,,,,0
1963,28-Nov,@,Michigan State,W,13,0,,,,1
1962,29-Sep,@,Washington,L,7,28,,,,0
1962,6-Oct,@,Northwestern,L,0,45,,,,0
1962,13-Oct,vs.,Ohio State,L,15,51,,,,0
1962,20-Oct,@,Minnesota,L,0,17,,,,0
1962,27-Oct,vs.,Southern California,L,16,28,,,,0
1962,3-Nov,@,Purdue,W,14,10,,,,0
1962,10-Nov,@,Michigan,L,10,14,,,,0
1962,17-Nov,vs.,Wisconsin,L,6,35,,,,0
1962,24-Nov,vs.,Michigan State,W,7,6,,,,0
1961,30-Sep,vs.,Washington,L,7,20,,,,0
1961,7-Oct,vs.,Northwestern,L,7,28,,,,0
1961,14-Oct,@,Ohio State,L,0,44,,,,0
1961,21-Oct,vs.,Minnesota,L,0,33,,,,0
1961,28-Oct,@,Southern California,L,10,14,,,,0
1961,4-Nov,vs.,Purdue,L,9,23,,,,1
1961,11-Nov,vs.,Michigan,L,6,38,,,,0
1961,18-Nov,@,Wisconsin,L,7,55,,,,2
1961,25-Nov,@,Michigan State,L,7,34,,,,0
1960,24-Sep,vs.,Indiana,W,17,6,,,,0
1960,1-Oct,vs.,West Virginia,W,33,0,,,,0
1960,8-Oct,vs.,Ohio State,L,7,34,,,,1
1960,15-Oct,@,Minnesota,L,10,21,,,,3
1960,22-Oct,vs.,Penn State,W,10,8,,,,0
1960,29-Oct,@,Purdue,W,14,12,,,,0
1960,5-Nov,@,Michigan,L,7,8,,,,0
1960,12-Nov,vs.,Wisconsin,W,35,14,,,,1
1960,19-Nov,@,Northwestern,L,7,14,,,,3
1959,26-Sep,@,Indiana,L,0,20,,,,0
1959,3-Oct,vs.,Army,W,20,14,,,,0
1959,10-Oct,@,Ohio State,W,9,0,,,,0
1959,17-Oct,vs.,Minnesota,W,14,6,,,,2
1959,24-Oct,vs.,Penn State,L,9,20,@ Cleveland, OH,,0
1959,31-Oct,vs.,Purdue,T,7,7,,,,0
1959,7-Nov,vs.,Michigan,L,15,20,,,,2
1959,14-Nov,@,Wisconsin,W,9,6,,,,0
1959,21-Nov,vs.,Northwestern,W,28,0,,,,2
1958,27-Sep,vs.,UCLA,L,14,18,,,,0
1958,4-Oct,@,Duke,L,13,15,,,,0
1958,11-Oct,vs.,Ohio State,L,13,19,,,,0
1958,18-Oct,@,Minnesota,W,20,8,,,,1
1958,25-Oct,vs.,Michigan State,W,16,0,,,,0
1958,1-Nov,@,Purdue,L,8,31,,,,0
1958,8-Nov,@,Michigan,W,21,8,,,,1
1958,15-Nov,vs.,Wisconsin,L,12,31,,,,0
1958,22-Nov,vs.,Northwestern,W,27,20,,,,1
1957,27-Sep,@,UCLA,L,6,16,,,,0
1957,5-Oct,vs.,Colgate,W,40,0,,,,0
1957,12-Oct,@,Ohio State,L,7,21,,,,0
1957,19-Oct,vs.,Minnesota,W,34,13,,,,0
1957,26-Oct,@,Michigan State,L,14,19,,,,1
1957,2-Nov,vs.,Purdue,L,6,21,,,,0
1957,9-Nov,vs.,Michigan,W,20,19,,,,0
1957,16-Nov,@,Wisconsin,L,13,24,,,,0
1957,23-Nov,vs.,Northwestern,W,27,0,,,,0
1956,29-Sep,vs.,California,W,32,20,,,,1
1956,6-Oct,@,Washington,L,13,28,,,,0
1956,13-Oct,vs.,Ohio State,L,6,26,,,,0
1956,20-Oct,@,Minnesota,L,13,16,,,,1
1956,27-Oct,vs.,Michigan State,W,20,13,,,,0
1956,3-Nov,@,Purdue,T,7,7,,,,0
1956,10-Nov,@,Michigan,L,7,17,,,,1
1956,17-Nov,vs.,Wisconsin,T,13,13,,,,1
1956,24-Nov,@,Northwestern,L,13,14,,,,0
1955,24-Sep,@,California,W,20,13,,,,0
1955,1-Oct,vs.,Iowa State,W,40,0,,,,0
1955,8-Oct,@,Ohio State,L,12,27,,,,0
1955,15-Oct,vs.,Minnesota,W,21,13,,,,0
1955,22-Oct,@,Michigan State,L,7,21,,,,0
1955,29-Oct,vs.,Purdue,L,0,13,,,,0
1955,5-Nov,vs.,Michigan,W,25,6,,,,0
1955,12-Nov,@,Wisconsin,W,17,14,,,,0
1955,19-Nov,@,Northwestern,T,7,7,,,,0
1954,25-Sep,vs.,Penn State,L,12,14,,,,0
1954,2-Oct,@,Stanford,L,2,12,,,,1
1954,9-Oct,vs.,Ohio State,L,7,40,,,,1
1954,16-Oct,@,Minnesota,L,6,19,,,,1
1954,23-Oct,vs.,Syracuse,W,34,6,,,,1
1954,30-Oct,@,Purdue,L,14,28,,,,1
1954,6-Nov,@,Michigan,L,7,14,,,,4
1954,13-Nov,vs.,Wisconsin,L,14,27,,,,0
1954,20-Nov,vs.,Northwestern,L,7,20,,,,1
1953,26-Sep,vs.,Nebraska,T,21,21,,,,0
1953,3-Oct,vs.,Stanford,W,33,21,,,,0
1953,10-Oct,@,Ohio State,W,41,20,,,,0
1953,17-Oct,vs.,Minnesota,W,27,7,,,,0
1953,24-Oct,vs.,Syracuse,W,20,13,,,,0
1953,31-Oct,vs.,Purdue,W,21,0,,,,0
1953,7-Nov,vs.,Michigan,W,19,3,,,,3
1953,14-Nov,@,Wisconsin,L,7,34,,,,0
1953,21-Nov,@,Northwestern,W,39,14,,,,0
1952,27-Sep,vs.,Iowa State,W,33,7,,,,0
1952,4-Oct,@,Wisconsin,L,6,20,,,,1
1952,11-Oct,vs.,Washington,W,48,14,,,,2
1952,18-Oct,@,Minnesota,L,7,13,,,,0
1952,25-Oct,vs.,Purdue,L,12,40,,,,0
1952,1-Nov,@,Michigan,W,22,13,,,,2
1952,8-Nov,@,Iowa,W,33,13,,,,10
1952,15-Nov,vs.,Ohio State,L,7,27,,,,0
1952,22-Nov,vs.,Northwestern,L,26,28,,,,1
1951,1-Jan,vs.,Stanford,W,40,7,@ Pasadena, CA,Rose Bowl,0
1951,29-Sep,vs.,UCLA,W,27,13,,,,1
1951,6-Oct,vs.,Wisconsin,W,14,10,,,,0
1951,13-Oct,@,Syracuse,W,41,20,,,,0
1951,20-Oct,@,Washington,W,27,20,,,,1
1951,27-Oct,@,Indiana,W,21,0,,,,2
1951,3-Nov,vs.,Michigan,W,7,0,,,,1
1951,10-Nov,vs.,Iowa,W,40,13,,,,9
1951,17-Nov,@,Ohio State,T,0,0,,,,1
1951,24-Nov,@,Northwestern,W,3,0,,,,0
1950,30-Sep,vs.,Ohio,W,28,2,,,,0
1950,7-Oct,vs.,Wisconsin,L,6,7,,,,0
1950,13-Oct,@,UCLA,W,14,6,,,,0
1950,21-Oct,vs.,Washington,W,20,13,,,,0
1950,28-Oct,vs.,Indiana,W,20,0,,,,1
1950,4-Nov,@,Michigan,W,7,0,,,,0
1950,11-Nov,@,Iowa,W,21,7,,,,8
1950,18-Nov,vs.,Ohio State,W,14,7,,,,0
1950,25-Nov,@,Northwestern,L,7,14,,,,0
1949,24-Sep,vs.,Iowa State,T,20,20,,,,0
1949,1-Oct,vs.,Wisconsin,T,13,13,,,,0
1949,8-Oct,@,Iowa,W,20,14,,,,7
1949,15-Oct,vs.,Missouri,L,20,27,,,,0
1949,22-Oct,@,Purdue,W,19,0,,,,1
1949,29-Oct,vs.,Michigan,L,0,13,,,,0
1949,5-Nov,vs.,Indiana,W,33,14,,,,0
1949,12-Nov,@,Ohio State,L,17,30,,,,0
1949,19-Nov,vs.,Northwestern,L,7,9,,,,0
1948,25-Sep,vs.,Kansas State,W,40,0,,,,0
1948,2-Oct,@,Wisconsin,L,16,20,,,,0
1948,9-Oct,vs.,Army,L,21,26,,,,0
1948,16-Oct,@,Minnesota,L,0,6,,,,1
1948,23-Oct,vs.,Purdue,W,10,6,,,,0
1948,30-Oct,@,Michigan,L,20,28,,,,0
1948,6-Nov,vs.,Iowa,W,14,0,,,,6
1948,13-Nov,vs.,Ohio State,L,7,34,,,,2
1948,20-Nov,@,Northwestern,L,7,20,,,,0
1947,27-Sep,vs.,Pittsburgh,W,14,0,,,,4
1947,4-Oct,@,Iowa,W,35,12,,,,5
1947,11-Oct,vs.,Army,T,0,0,@ Bronx, NY,,0
1947,18-Oct,vs.,Minnesota,W,40,13,,,,0
1947,25-Oct,@,Purdue,L,7,14,,,,1
1947,1-Nov,vs.,Michigan,L,7,14,,,,1
1947,8-Nov,vs.,Western Michigan,W,60,14,,,,0
1947,15-Nov,@,Ohio State,W,28,7,,,,1
1947,22-Nov,vs.,Northwestern,L,13,28,,,,1
1946,1-Jan,vs.,UCLA,W,45,14,@ Pasadena, CA,Rose Bowl,0
1946,21-Sep,@,Pittsburgh,W,33,7,,,,3
1946,28-Sep,vs.,Notre Dame,L,6,26,,,,0
1946,5-Oct,vs.,Purdue,W,43,7,,,,0
1946,12-Oct,@,Indiana,L,7,14,,,,0
1946,19-Oct,vs.,Wisconsin,W,27,21,,,,0
1946,26-Oct,@,Michigan,W,13,9,,,,0
1946,2-Nov,@,Iowa,W,7,0,,,,4
1946,16-Nov,vs.,Ohio State,W,16,7,,,,0
1946,23-Nov,@,Northwestern,W,20,0,,,,0
1945,22-Sep,vs.,Pittsburgh,W,23,6,,,,2
1945,29-Sep,@,Notre Dame,L,0,7,,,,0
1945,6-Oct,vs.,Indiana,L,0,6,,,,1
1945,20-Oct,@,Wisconsin,T,7,7,,,,0
1945,27-Oct,vs.,Michigan,L,0,19,,,,0
1945,3-Nov,vs.,Great Lakes Navy,L,6,12,,,,0
1945,10-Nov,vs.,Iowa,W,48,7,,,,3
1945,17-Nov,@,Ohio State,L,2,27,,,,0
1945,24-Nov,@,Northwestern,L,7,13,,,,1
1944,16-Sep,vs.,Illinois State,W,79,0,,,,0
1944,23-Sep,vs.,Indiana,W,26,18,,,,0
1944,30-Sep,@,Great Lakes Navy,T,26,26,,,,0
1944,7-Oct,vs.,Purdue,L,19,35,,,,0
1944,14-Oct,vs.,Iowa,W,40,6,,,,2
1944,21-Oct,@,Pittsburgh,W,39,5,,,,1
1944,28-Oct,vs.,Notre Dame,L,7,13,,,,0
1944,11-Nov,@,Michigan,L,0,14,,,,0
1944,18-Nov,vs.,Ohio State,L,12,26,@ Cleveland, OH,,0
1944,25-Nov,@,Northwestern,W,25,6,,,,0
1943,11-Sep,vs.,Camp Grant,L,0,23,,,,1
1943,18-Sep,vs.,Iowa Pre-Flight,L,18,32,,,,0
1943,2-Oct,@,Purdue,L,21,40,,,,0
1943,9-Oct,@,Wisconsin,W,25,7,,,,0
1943,16-Oct,vs.,Pittsburgh,W,33,25,,,,0
1943,23-Oct,@,Notre Dame,L,0,47,,,,0
1943,30-Oct,vs.,Michigan,L,6,42,,,,0
1943,6-Nov,@,Iowa,W,19,10,,,,1
1943,13-Nov,@,Ohio State,L,26,29,,,,0
1943,20-Nov,@,Northwestern,L,6,53,,,,1
1942,26-Sep,vs.,South Dakota,W,46,0,,,,0
1942,3-Oct,vs.,Butler,W,67,0,,,,0
1942,10-Oct,vs.,Minnesota,W,20,13,,,,0
1942,17-Oct,@,Iowa,W,12,7,,,,0
